reg,jam,sum_countd_device,wfh_date,sum_act_sec,sum_usage_wfh
6,18,54,27,735450,"4,858,909,755"
6,19,50,27,940790,"6,871,699,439"
6,20,60,27,977160,"5,516,951,456"
6,21,60,27,1032230,"7,719,424,555"
6,22,58,27,976900,"6,605,992,754"
7,0,16,27,144950,"334,960,404"
7,1,11,27,51360,"55,919,295"
7,2,13,27,138220,"117,928,792"
7,3,11,27,139840,"103,389,023"
7,4,16,27,158740,"683,793,950"
7,5,19,27,244930,"908,299,494"
7,6,26,27,286670,"1,917,444,023"
7,7,27,27,412430,"2,228,069,004"
7,8,24,27,447690,"2,609,755,578"
7,9,24,27,446300,"1,980,162,047"
7,10,25,27,476640,"1,898,676,514"
7,11,27,27,467570,"1,863,849,223"
7,12,23,27,453650,"1,916,436,762"
7,14,25,27,241520,"1,153,769,207"
7,15,33,27,540650,"1,909,063,151"
7,16,35,27,585620,"2,802,011,471"
7,17,32,27,527600,"2,555,251,482"
7,18,38,27,633270,"3,240,360,327"
7,19,41,27,853070,"3,424,261,979"
7,20,44,27,918520,"7,573,670,358"
7,21,44,27,792350,"9,466,869,359"
7,22,42,27,772330,"3,891,703,930"
